,plot_id,lat,lon,invyr,TPA
56393,0_789,38.383865,-86.64545799999999,2010.0,83.91837070012143
125905,6_7899,46.016452,-84.526969,2011.0,177.41031894751677
43625,5_5258,41.08644,-75.63346,2005.0,103.40212950222583
63348,3_4091,44.733342,-89.312427,2003.0,174.09285113258485
126545,6_7543,39.399103000000004,-86.996418,2011.0,110.70853905301497
12885,7_4387,36.736256,-79.46137399999999,2016.0,110.49786078510724
135732,5_4738,34.239379,-78.145371,2011.0,485.68944826655866
3729,7_6875,35.547985,-90.67564300000001,2017.0,34.096577903682714
17855,11_7841,30.683743,-85.070583,2016.0,358.0730724403076
128469,7_9613,36.842579,-85.153554,2007.0,459.7111031970861
61183,5_3051,34.296355,-79.826176,2005.0,485.6192221772563
108365,4_5141,46.517783,-93.86435300000001,2009.0,54.69273249696479
87260,10_9175,46.684857,-92.885163,2010.0,131.09401537838932
72683,3_2628,45.152687,-84.22006800000001,2003.0,71.74102144880615
78017,9_11773,36.912896,-83.190188,2014.0,194.41623148522865
30920,10_10268,28.22539,-82.672012,2015.0,602.5917651041303
6566,6_8780,45.186145,-90.057417,2011.0,736.7422994738974
15812,5_6215,37.268026,-87.541915,2010.0,198.02534916304148
12502,5_6648,32.673369,-82.758822,2015.0,174.91078253496227
127543,7_4512,37.436384999999994,-77.889042,2007.0,452.8457183326589
107298,6_3440,34.238625,-82.08389,2006.0,81.48290084985837
136082,5_4640,34.659496000000004,-77.575338,2005.0,216.3354601375961
93053,1_2790,46.373944,-94.720864,2016.0,22.130475102457975
14551,5_5983,37.64427,-85.052265,2015.0,217.4478559287738
135459,5_4632,36.419757000000004,-77.20687099999999,2011.0,668.0687826790772
49767,7_7009,35.587943,-92.276459,2017.0,361.3942965375183
9827,5_7278,45.63016,-88.008626,2005.0,1160.783736139215
88207,4_232,35.47594,-87.398033,2004.0,324.18717280453257
105745,3_1327,34.103367999999996,-79.507386,2013.0,119.1273443949818
105132,3_217,35.856818,-86.295941,2008.0,347.21879724807775
72205,4_266,35.650626,-89.045946,2009.0,236.49059004451638
94505,1_1644,32.102009,-82.983729,2011.0,260.4564498888034
139128,4_3558,40.289778999999996,-86.874597,2004.0,267.0589704573047
31252,2_1478,37.859852000000004,-76.664118,2014.0,0.0
99515,2_1119,34.129123,-81.50030500000001,2012.0,598.5525528126266
136912,2_2097,39.168585,-85.54692800000001,2002.0,652.9653247086194
61641,7_7182,35.942904999999996,-93.534255,2017.0,184.67435208417646
13872,5_6593,31.252446999999997,-81.54904499999999,2010.0,221.7373187643329
104513,2_4188,33.077628000000004,-80.588062,2017.0,141.04657304734926
83112,4_3479,46.56762,-86.183651,2009.0,102.14928153244298
76573,5_8836,46.626428999999995,-88.98258299999999,2010.0,209.02905058680693
30308,10_11052,35.030169,-92.684116,2015.0,312.0098235532173
126147,6_6268,35.558212,-87.02736800000001,2011.0,179.80341238365037
67193,4_3034,43.75499,-70.82077,2009.0,207.7059765277216
17801,11_8002,29.49407,-82.893529,2016.0,23.91052072921742
134912,5_3711,33.180973,-86.449949,2011.0,255.0922994738972
68890,3_4001,44.784165,-91.387294,2008.0,225.8666612707406
118137,2_3371,47.022731,-93.582718,2007.0,129.2496894824227
59533,6_5509,37.651720000000005,-78.128147,2010.0,757.3384540671792
129470,1_65,35.428360999999995,-85.91318000000001,2011.0,240.4794803723189
10957,5_6501,31.830144,-83.122375,2005.0,290.3012731687576
8690,4_1910,35.441063,-83.93966400000001,2004.0,283.4358883043302
74072,6_5093,31.854621,-82.809771,2016.0,557.57092189397
99065,2_3042,43.668649,-91.28171800000001,2002.0,262.39870902468635
75548,6_5931,36.090685,-92.350649,2016.0,274.36538000809384
31337,5_2782,32.413932,-81.06438100000001,2005.0,12.177349251315256
129428,7_8124,32.741501,-84.47993000000001,2007.0,578.1670764872521
89675,9_9854,40.628465999999996,-76.367085,2009.0,303.5910182112505
100198,11_6983,39.386333,-82.554036,2016.0,64.018249470131
106887,4_4440,37.763878000000005,-92.170126,2004.0,361.83161634965603
105245,3_1247,34.776425,-80.739682,2003.0,247.99656819101574
42664,5_5071,41.553490000000004,-76.45996,2005.0,175.35382921893972
100346,11_6737,39.608686,-75.364241,2016.0,189.0372034644355
30211,9_7240,37.506027,-92.03957,2009.0,343.8816098745446
73606,6_3983,43.708909999999996,-70.60473,2016.0,315.7683674625657
125476,7_6154,45.579066,-92.778483,2007.0,77.93503520841764
136562,2_2171,38.457848999999996,-86.261162,2007.0,76.17093646297045
109272,4_4435,37.520286,-93.190149,2004.0,144.16383001033003
8121,6_8893,43.499525,-89.45166400000001,2017.0,50.12342437358943
43061,5_3630,36.729234000000005,-77.6822,2009.0,1366.5346038041273
62734,6_3408,34.444288,-80.938148,2016.0,393.49272440307567
92177,1_2723,47.188169,-94.718855,2016.0,655.4700768919467
77349,6_6048,34.149695,-92.309253,2006.0,626.4551169566978
111043,9_11025,33.036256,-81.607054,2014.0,3.2472931336840687
5586,6_9179,45.591709,-92.479831,2006.0,29.225638203156617
138111,2_2905,45.209441,-88.64954,2007.0,307.98159692432205
62015,6_3376,32.89862,-80.412851,2011.0,563.1329008498585
92315,1_2910,47.657965000000004,-95.021784,2006.0,52.16144118273437
68647,3_4252,38.213863,-89.752558,2008.0,97.13788965331176
69599,3_2981,32.224578,-84.355974,2003.0,565.5683707001215
8677,7_3985,44.653659999999995,-70.42779,2012.0,580.3918680696075
129898,7_7907,40.623740000000005,-75.93964,2007.0,98.53118980169974
44094,5_8049,48.379092,-94.200572,2015.0,747.807252934035
137334,2_2287,32.593582,-84.968265,2012.0,315.7683674625657
118663,2_3102,47.888027,-93.46906700000001,2007.0,3.2472931336840687
111563,4_278,35.438029,-86.835639,2014.0,251.33375556454877
80954,4_2900,45.9125,-70.09974,2009.0,1041.2350352084181
96712,8_7575,42.682545000000005,-77.862356,2013.0,9.741879401052206
67715,9_8372,35.544073,-92.380477,2009.0,125.11067988668555
43517,12_3438,32.537054,-88.437224,2016.0,238.04401052205586
103888,8_6755,41.738684,-78.18359,2013.0,151.90084823957915
9209,3_847,32.244018,-87.55635,2008.0,111.82093484419265
7766,6_8991,45.106041999999995,-90.022607,2017.0,184.67435208417646
124652,7_5113,46.981792999999996,-88.415213,2007.0,148.34473079630976
52908,6_7738,46.284746999999996,-87.67784,2011.0,494.0380275192231
74622,4_3617,39.035332000000004,-86.88695600000001,2014.0,173.3088261162822
120970,8_7088,44.88154,-71.545952,2008.0,206.5935807365439
115485,0_2828,48.950196999999996,-95.690957,2005.0,1365.2115297450418
28993,8_4860,38.574826,-88.369675,2008.0,320.42862889518415
101778,9_7297,29.926136,-82.360866,2009.0,48.709397005261025
103726,3_113,35.153952000000004,-86.400487,2003.0,295.17221286928367
62852,4_377,36.484382000000004,-87.66151500000001,2009.0,257.52776932416026
52467,6_8768,45.901897,-91.197099,2011.0,139.33716258041122
95534,1_1684,31.320583000000003,-81.649132,2016.0,503.7799069202753
98419,2_1260,33.049302000000004,-81.526096,2012.0,167.02921268121423
137163,2_2382,33.607846,-82.651747,2012.0,53.0603453216351
99516,2_1119,34.129123,-81.50030500000001,2007.0,530.9499960104466
81575,3_3881,45.433621,-90.606756,2013.0,89.90170619182517
76176,5_8842,46.402636,-89.295226,2010.0,177.53971419661906
108175,6_3531,34.937611,-83.017713,2016.0,173.8200768919466
45103,5_2932,34.086979,-82.494904,2010.0,291.6243472278429
73196,9_10842,35.812059000000005,-87.311053,2009.0,217.04491876601483
118416,8_7172,44.149257,-72.83405400000001,2008.0,95.05997075776206
46075,3_2094,35.712234,-83.088571,2013.0,209.02905058680693
